vendor,category,name,sku,price,unit,url,image,scrape_date
Clarington Home Hardware,Lumber,Pine 1x6,2826881,$3.49,/foot,https://claringtonhomehardware.com/p/pine-1x6/2826881,https://ik.imagekit.io/toolbx/p_1693540979458_fb102df9-549d-47d6-a44f-1f535bd0e7e3_2826881.jpg,2026-01-07 10:32:11.675595
Clarington Home Hardware,Lumber,Spruce 2x2x14,2214S,$7.97,/each,https://claringtonhomehardware.com/p/spruce-2x2x14/2214S,https://ik.imagekit.io/toolbx/p_1693541567458_eb75d785-ac7d-468d-ad21-e11e8a8a6f47_2214S.jpg,2026-01-07 10:32:11.735596
Clarington Home Hardware,Lumber,Spruce 2x6x116-5/8,2833538,$12.95,/each,https://claringtonhomehardware.com/p/spruce-2x6x116-58/2833538,https://ik.imagekit.io/toolbx/p_1693541626664_e4b16df4-00b4-456e-9a72-6d24c20bb793_2833538.jpg,2026-01-07 10:32:11.789595
Clarington Home Hardware,Lumber,PT 5/4x6x8,2835940,$8.71,/each,https://claringtonhomehardware.com/p/pt-54x6x8/2835940,https://ik.imagekit.io/toolbx/p_1693541218995_54876708-e43b-4ba0-9814-058aeedd8d92_2835940.jpg,2026-01-07 10:32:11.845597
Clarington Home Hardware,Lumber,Pine 1x12x10,2826865,$23.99,/each,https://claringtonhomehardware.com/p/pine-1x12x10/2826865,https://ik.imagekit.io/toolbx/p_1693541276267_c214bcc0-de04-4208-b366-f2bd8e66baba_2826865.jpg,2026-01-07 10:32:11.906595
Clarington Home Hardware,Lumber,Cedar 1x6x10,2805357,$19.70,/each,https://claringtonhomehardware.com/p/cedar-1x6x10/2805357,https://ik.imagekit.io/toolbx/p_1693540964518_dcfa1f26-2779-4d4e-a6c5-dd163e6f607a_2805357.jpg,2026-01-07 10:32:11.967596
Clarington Home Hardware,Lumber,Spruce 2x12x12,2832499,$48.61,/each,https://claringtonhomehardware.com/p/spruce-2x12x12/2832499,https://ik.imagekit.io/toolbx/p_1693541533988_0c49c68a-993b-4352-8953-8e8bc9eea267_2832499.jpg,2026-01-07 10:32:12.026595
Clarington Home Hardware,Lumber,PT 2x10x10,2835979,$31.20,/each,https://claringtonhomehardware.com/p/pt-2x10x10/2835979,https://ik.imagekit.io/toolbx/p_1693541020182_5ee8d8f2-f9a1-40b2-b457-45f1ccaf30f8_2835979.jpg,2026-01-07 10:32:12.088596
Clarington Home Hardware,Lumber,PT 2x6x8,2836006,$12.59,/each,https://claringtonhomehardware.com/p/pt-2x6x8/2836006,https://ik.imagekit.io/toolbx/p_1693541114155_c09b68d9-d2f7-4fff-81eb-18e3681aa338_2836006.jpg,2026-01-07 10:32:12.150610
Clarington Home Hardware,Lumber,PT 2x8x16,2835977,$37.78,/each,https://claringtonhomehardware.com/p/pt-2x8x16/2835977,https://ik.imagekit.io/toolbx/p_1693541161649_b0cf3a2f-6932-4ace-a422-982a52ad2ed1_2835977.jpg,2026-01-07 10:32:12.211596
Clarington Home Hardware,Lumber,Cedar 1x6x8,2805353,$14.99,/each,https://claringtonhomehardware.com/p/cedar-1x6x8/2805353,https://ik.imagekit.io/toolbx/p_1693540960141_4a9baf55-24b2-4201-9c4d-1f6a89fdb5d9_2805353.jpg,2026-01-07 10:32:12.273595
Clarington Home Hardware,Lumber,Spruce 2x6x20,2832453,$35.27,/each,https://claringtonhomehardware.com/p/spruce-2x6x20/2832453,https://ik.imagekit.io/toolbx/p_1693541649870_9e353fe8-a515-4673-bb61-4064f6072e21_2832453.jpg,2026-01-07 10:32:12.334598
Clarington Home Hardware,Lumber,PT 24x96 Lattice,12153,$24.69,/each,https://claringtonhomehardware.com/p/pt-24x96-lattice/12153,https://ik.imagekit.io/toolbx/p_1693541337801_c24e9410-401d-4cb4-be99-345ee2f7a432_12153.jpg,2026-01-07 10:32:12.395597
Clarington Home Hardware,Lumber,LVL 7-1/4x16',714LVL16,$118.15,/each,https://claringtonhomehardware.com/p/lvl-7-14x16/714LVL16,https://ik.imagekit.io/toolbx/p_1693541392649_9a369a71-31f8-4e84-8de0-ae50ce63293b_714LVL16.jpg,2026-01-07 10:32:12.457595
Clarington Home Hardware,Lumber,PT 2x4x10,2836002,$9.34,/each,https://claringtonhomehardware.com/p/pt-2x4x10/2836002,https://ik.imagekit.io/toolbx/p_1693541080110_ba835cc7-d40e-4491-bbb1-ae1287970975_2836002.jpg,2026-01-07 10:32:12.519595
Clarington Home Hardware,Lumber,PT 4-STEP,2837613,$29.89,/each,https://claringtonhomehardware.com/p/pt-4-step/2837613,https://ik.imagekit.io/toolbx/p_1693541703769_2531927a-3897-411d-8f03-5e2ffaba75b3_2837613.jpg,2026-01-07 10:32:12.578594
Clarington Home Hardware,Lumber,Pine 2x6,2826831,$2.39,/foot,https://claringtonhomehardware.com/p/pine-2x6/2826831,https://ik.imagekit.io/toolbx/p_1693541109752_17577936-8058-45be-a86a-0043066046cc_2826831.jpg,2026-01-07 10:32:12.639365
Clarington Home Hardware,Lumber,Cedar 5/4x6x8,2805615,$15.92,/each,https://claringtonhomehardware.com/p/cedar-54x6x8/2805615,https://ik.imagekit.io/toolbx/p_1693541199685_0ce7fa2c-af49-44ec-a1c6-c91f0168a020_2805615.jpg,2026-01-07 10:32:12.697449
Clarington Home Hardware,Lumber,PT 2x2x8,2835967,$5.49,/each,https://claringtonhomehardware.com/p/pt-2x2x8/2835967,https://ik.imagekit.io/toolbx/p_1693541056750_ce127793-9757-4cc3-b06a-0b26e4a48c3f_2835967.jpg,2026-01-07 10:32:12.753483
Clarington Home Hardware,Lumber,"LVL 9-1/2""x10'",912LVL10,$90.00,/each,https://claringtonhomehardware.com/p/lvl-9-12x10/912LVL10,https://ik.imagekit.io/toolbx/p_1693541397450_3a73c908-611f-4d98-889c-8f8f74db7f52_912LVL10.jpg,2026-01-07 10:32:12.813007
Clarington Home Hardware,Lumber,Pine 1x12x8,2826930,$10.99,/each,https://claringtonhomehardware.com/p/pine-1x12x8/2826930,https://ik.imagekit.io/toolbx/p_1693540897027_8c65f0f2-f3ba-4e97-87b2-734019a615c1_2826930.jpg,2026-01-07 10:32:12.868376
Clarington Home Hardware,Lumber,PT 2x8x12,2835975,$28.35,/each,https://claringtonhomehardware.com/p/pt-2x8x12/2835975,https://ik.imagekit.io/toolbx/p_1693541151683_ddb03829-907c-4e61-bc8a-6a88eb152743_2835975.jpg,2026-01-07 10:32:12.924963
Clarington Home Hardware,Lumber,"LVL 9-1/2""x20'",912LVL20,$180.00,/each,https://claringtonhomehardware.com/p/lvl-9-12x20/912LVL20,https://ik.imagekit.io/toolbx/p_1693541411286_3758f070-a606-4cb7-b6fc-d3480bac4ae9_912LVL20.jpg,2026-01-07 10:32:12.982269
Clarington Home Hardware,Lumber,LVL 11-7/8x20',1178LVL20,$223.69,/each,https://claringtonhomehardware.com/p/lvl-11-78x20/1178LVL20,https://ik.imagekit.io/toolbx/src-img/158706539262,2026-01-07 10:32:13.037436
Clarington Home Hardware,Lumber,PT 6x6x16,2835997,$83.40,/each,https://claringtonhomehardware.com/p/pt-6x6x16/2835997,https://ik.imagekit.io/toolbx/p_1693541258019_93f68824-e865-4dee-92b3-ed4c9099ce89_2835997.jpg,2026-01-07 10:32:13.093271
Clarington Home Hardware,Lumber,Spruce 2x6x10,2832443,$12.76,/each,https://claringtonhomehardware.com/p/spruce-2x6x10/2832443,https://ik.imagekit.io/toolbx/p_1693541627093_7a7e59b3-32a7-4d4f-8f2e-62d850e3d66f_2832443.jpg,2026-01-07 10:32:13.147985
Clarington Home Hardware,Lumber,Pine 1x12x10,2826931,$14.49,/each,https://claringtonhomehardware.com/p/pine-1x12x10/2826931,https://ik.imagekit.io/toolbx/p_1693540902317_543f52fa-4114-4ae1-acd1-82fc4558b1d9_2826931.jpg,2026-01-07 10:32:13.204474
