category,name,sku,price,unit,url,image
Simpson Strong Ties,"SD Structural Screw 1-1/2"" 500pc",SD9112R500,51.15,/each,https://slacklumber.ca/p/sd-structural-screw-1-12-500pc/SD9112R500,https://ik.imagekit.io/toolbx/1761318994528
Simpson Strong Ties,"SD Structural Screw 2-1/2"" 100pc",SD212R100-R,15.70,/each,https://slacklumber.ca/p/sd-structural-screw-2-12-100pc/SD212R100-R,https://ik.imagekit.io/toolbx/1761319034713
Simpson Strong Ties,"SD Structural Screw 2-1/2"" 500pc",SD9212R500,84.99,/each,https://slacklumber.ca/p/sd-structural-screw-2-12-500pc/SD9212R500,https://ik.imagekit.io/toolbx/1761319074840
Simpson Strong Ties,"SDS Heavy Duty Structural Screw 2-1/2"" 25pc",SDS25312-R25L,25.83,/each,https://slacklumber.ca/p/sds-heavy-duty-structural-screw-2-12-25pc/SDS25312-R25L,https://ik.imagekit.io/toolbx/1761319188421
Simpson Strong Ties,"2-1/2"" x 9-1/2"" Face Mount I-Joist Hanger",LF259,2.89,/each,https://slacklumber.ca/p/2-12-x-9-12-face-mount-i-joist-hanger/LF259,https://ik.imagekit.io/toolbx/1761331565629
Simpson Strong Ties,"2-1/2"" x 11-7/8"" Face Mount I-Joist Hanger",LF2511,3.54,/each,https://slacklumber.ca/p/2-12-x-11-78-face-mount-i-joist-hanger/LF2511,https://ik.imagekit.io/toolbx/1761331497690
Simpson Strong Ties,"2-1/2"" x 14"" Face Mount I-Joist Hanger",LF2514,4.35,/each,https://slacklumber.ca/p/2-12-x-14-face-mount-i-joist-hanger/LF2514,https://ik.imagekit.io/toolbx/1761331540079
Simpson Strong Ties,"3-1/2"" x 9-1/2"" Face Mount I-Joist Hanger",LF359,3.13,/each,https://slacklumber.ca/p/3-12-x-9-12-face-mount-i-joist-hanger/LF359,https://ik.imagekit.io/toolbx/1761331694809
Simpson Strong Ties,"3-1/2"" x 11-7/8"" Face Mount I-Joist Hanger",LF3511,4.51,/each,https://slacklumber.ca/p/3-12-x-11-78-face-mount-i-joist-hanger/LF3511,https://ik.imagekit.io/toolbx/1761331597051
Simpson Strong Ties,"3-1/2"" x 14"" Face Mount I-Joist Hanger",LF3514,4.87,/each,https://slacklumber.ca/p/3-12-x-14-face-mount-i-joist-hanger/LF3514,https://ik.imagekit.io/toolbx/1761331657927
