category,sku,name,unit,price,url,image,scraped_time
Pressure Treated Lumber,3STRING,"Stringer, Pressure Treated, Brown, 3-Step",Each,$23.38,https://www.coppsbuildall.com/shop/3STRING/stringer-pressure-treated-brown-3-step/,https://www.coppsbuildall.com/img/products/5322-sm.jpg,
Pressure Treated Lumber,4STRING,"Stringer, Pressure Treated, Brown, 4-Step",Each,$32.04,https://www.coppsbuildall.com/shop/4STRING/stringer-pressure-treated-brown-4-step/,https://www.coppsbuildall.com/img/products/6168-sm.jpg,
Pressure Treated Lumber,5STRING,"Stringer, Pressure Treated, Brown, 5-Step",Each,$41.18,https://www.coppsbuildall.com/shop/5STRING/stringer-pressure-treated-brown-5-step/,https://www.coppsbuildall.com/img/products/6618-sm.jpg,
Pressure Treated Lumber,48PSQLATTB,"Lattice, Pressure Treated, Brown, Georgian Square, 4 ft x 8 ft (1-3/4"" Spacing)",Each,$76.95,https://www.coppsbuildall.com/shop/48PSQLATTB/lattice-pressure-treated-brown-georgian-square-4-ft-x-8-ft-1-3-4-spacing/,https://www.coppsbuildall.com/img/products/6071-sm.jpg,
Pressure Treated Lumber,18PPLATT,"Lattice, Pressure Treated, Brown, Privacy Plus, 1 ft x 8 ft (3/4"" Spacing)",Each,$10.20,https://www.coppsbuildall.com/shop/18PPLATT/lattice-pressure-treated-brown-privacy-plus-1-ft-x-8-ft-3-4-spacing/,https://www.coppsbuildall.com/img/products/2430-sm.jpg,
Pressure Treated Lumber,48PPLATT,"Lattice, Pressure Treated, Brown, Privacy Plus, 4 ft x 8 ft (3/4"" Spacing)",Each,$38.94,https://www.coppsbuildall.com/shop/48PPLATT/lattice-pressure-treated-brown-privacy-plus-4-ft-x-8-ft-3-4-spacing/,https://www.coppsbuildall.com/img/products/6070-sm.jpg,
Pressure Treated Lumber,48PVCLATTBLK,"Lattice, PVC, Privacy, Black, 4 ft x 8 ft (1-1/8"" Spacing)",Each,$54.99,https://www.coppsbuildall.com/shop/48PVCLATTBLK/lattice-pvc-privacy-black-4-ft-x-8-ft-1-1-8-spacing/,https://www.coppsbuildall.com/img/products/146726-sm.jpg,
Pressure Treated Lumber,48PVCLATTCED,"Lattice, PVC, Privacy, Cedar, 4 ft x 8 ft (1-1/8"" Spacing)",Each,$54.99,https://www.coppsbuildall.com/shop/48PVCLATTCED/lattice-pvc-privacy-cedar-4-ft-x-8-ft-1-1-8-spacing/,https://www.coppsbuildall.com/img/products/146727-sm.jpg,
Pressure Treated Lumber,48PVCLATTWHT,"Lattice, PVC, Privacy, White, 4 ft x 8 ft (1-1/8"" Spacing)",Each,$49.99,https://www.coppsbuildall.com/shop/48PVCLATTWHT/lattice-pvc-privacy-white-4-ft-x-8-ft-1-1-8-spacing/,https://www.coppsbuildall.com/img/products/146725-sm.jpg,
Pressure Treated Lumber,24RAILB,"Pressure Treated, Grooved Rail, Brown, 2"" x 4"" x 8 ft (grooved 1-side for lattice)",Each,$11.38,https://www.coppsbuildall.com/shop/24RAILB/pressure-treated-grooved-rail-brown-2-x-4-x-8-ft-grooved-1-side-for-lattice/,https://www.coppsbuildall.com/img/products/3351-sm.jpg,
Pressure Treated Lumber,76490079,"Post Cap, Brown PT, 5-1/2"" Bevelled, 4x4 Post, SPCB55T1",Each,$3.99,https://www.coppsbuildall.com/shop/76490079/post-cap-brown-pt-5-1-2-bevelled-4x4-post-spcb55t1/,https://www.coppsbuildall.com/img/products/7485-sm.jpg,
Pressure Treated Lumber,76490080,"Post Cap, Brown PT, 5-1/4"" Traditional, 4x4 Post, SPCT525LT1",Each,$3.99,https://www.coppsbuildall.com/shop/76490080/post-cap-brown-pt-5-1-4-traditional-4x4-post-spct525lt1/,https://www.coppsbuildall.com/img/products/7486-sm.jpg,
Pressure Treated Lumber,NAILSTRIP4,"Nailing Strip, Pressure Treated, Brown, 48"" long (3/4"" x 3/4"" x 4 ft)",Each,$1.69,https://www.coppsbuildall.com/shop/NAILSTRIP4/nailing-strip-pressure-treated-brown-48-long-3-4-x-3-4-x-4-ft/,https://www.coppsbuildall.com/img/products/13023-sm.jpg,
Pressure Treated Lumber,NAILSTRIP8,"Nailing Strip, Pressure Treated, Brown, 96"" long (3/4"" x 3/4"" x 8 ft)",Each,$3.29,https://www.coppsbuildall.com/shop/NAILSTRIP8/nailing-strip-pressure-treated-brown-96-long-3-4-x-3-4-x-8-ft/,https://www.coppsbuildall.com/img/products/13025-sm.jpg,
Plywood Sheet Goods,4838SPR,"Plywood, Spruce, 4 ft x 8 ft x 3/8"" (9.5 mm)",Each,$30.98,https://www.coppsbuildall.com/shop/4838SPR/plywood-spruce-4-ft-x-8-ft-x-3-8-95-mm/,https://www.coppsbuildall.com/img/products/5973-sm.jpg,
Plywood Sheet Goods,4812SPR,"Plywood, Spruce, 4 ft x 8 ft x 1/2"" (12 mm)",Each,$40.98,https://www.coppsbuildall.com/shop/4812SPR/plywood-spruce-4-ft-x-8-ft-x-1-2-12-mm/,https://www.coppsbuildall.com/img/products/5901-sm.jpg,
Plywood Sheet Goods,4858SPR,"Plywood, Spruce, 4 ft x 8 ft x 5/8"" (15.5 mm)",Each,$52.98,https://www.coppsbuildall.com/shop/4858SPR/plywood-spruce-4-ft-x-8-ft-x-5-8-155-mm/,https://www.coppsbuildall.com/img/products/6032-sm.jpg,
Plywood Sheet Goods,4834SPR,"Plywood, Spruce, 4 ft x 8 ft x 3/4"" (18.5 mm)",Each,$63.98,https://www.coppsbuildall.com/shop/4834SPR/plywood-spruce-4-ft-x-8-ft-x-3-4-185-mm/,https://www.coppsbuildall.com/img/products/5962-sm.jpg,
Plywood Sheet Goods,4834TGS,"Plywood, Spruce, Tongue & Groove, 4 ft x 8 ft x 3/4"" (T&G, 18.5 mm)",Each,$63.98,https://www.coppsbuildall.com/shop/4834TGS/plywood-spruce-tongue-groove-4-ft-x-8-ft-x-3-4-tg-185-mm/,https://www.coppsbuildall.com/img/products/5964-sm.jpg,
Plywood Sheet Goods,4858TGS,"Plywood, Spruce, Tongue & Groove, 4 ft x 8 ft x 5/8"" (T&G, 15.5 mm)",Each,$52.98,https://www.coppsbuildall.com/shop/4858TGS/plywood-spruce-tongue-groove-4-ft-x-8-ft-x-5-8-tg-155-mm/,https://www.coppsbuildall.com/img/products/6035-sm.jpg,
Plywood Sheet Goods,4838STD,"Plywood, Standard Fir, 4 ft x 8 ft x 3/8"" (9.5 mm)",Each,$31.98,https://www.coppsbuildall.com/shop/4838STD/plywood-standard-fir-4-ft-x-8-ft-x-3-8-95-mm/,https://www.coppsbuildall.com/img/products/5974-sm.jpg,
Plywood Sheet Goods,4812STD,"Plywood, Standard Fir, 4 ft x 8 ft x 1/2"" (12 mm)",Each,$41.98,https://www.coppsbuildall.com/shop/4812STD/plywood-standard-fir-4-ft-x-8-ft-x-1-2-12-mm/,https://www.coppsbuildall.com/img/products/5902-sm.jpg,
Plywood Sheet Goods,4858STD,"Plywood, Standard Fir, 4 ft x 8 ft x 5/8"" (15.5 mm)",Each,$53.98,https://www.coppsbuildall.com/shop/4858STD/plywood-standard-fir-4-ft-x-8-ft-x-5-8-155-mm/,https://www.coppsbuildall.com/img/products/6033-sm.jpg,
Plywood Sheet Goods,4834STD,"Plywood, Standard Fir, 4 ft x 8 ft x 3/4"" (18.5 mm)",Each,$64.98,https://www.coppsbuildall.com/shop/4834STD/plywood-standard-fir-4-ft-x-8-ft-x-3-4-185-mm/,https://www.coppsbuildall.com/img/products/5963-sm.jpg,
Plywood Sheet Goods,34TGSEL,"Plywood, Select Fir, Tongue & Groove, 4 ft x 8 ft x 3/4"" (T&G, 18.5 mm)",Each,$68.95,https://www.coppsbuildall.com/shop/34TGSEL/plywood-select-fir-tongue-groove-4-ft-x-8-ft-x-3-4-tg-185-mm/,https://www.coppsbuildall.com/img/products/4810-sm.jpg,
Plywood Sheet Goods,58TGSTD,"Plywood, Standard Fir, Tongue & Groove, 4 ft x 8 ft x 5/8"" (T&G, 15.5 mm)",Each,$53.98,https://www.coppsbuildall.com/shop/58TGSTD/plywood-standard-fir-tongue-groove-4-ft-x-8-ft-x-5-8-tg-155-mm/,https://www.coppsbuildall.com/img/products/6572-sm.jpg,
Plywood Sheet Goods,4812FR,"Plywood, Fir, Fire-Rated, 4 ft x 8 ft x 1/2"" (12 mm)",Each,$105.00,https://www.coppsbuildall.com/shop/4812FR/plywood-fir-fire-rated-4-ft-x-8-ft-x-1-2-12-mm/,https://www.coppsbuildall.com/img/products/5892-sm.jpg,
Plywood Sheet Goods,4834FR,"Plywood, Fir, Fire-Rated, 4 ft x 8 ft x 3/4"" (18.5 mm)",Each,$123.00,https://www.coppsbuildall.com/shop/4834FR/plywood-fir-fire-rated-4-ft-x-8-ft-x-3-4-185-mm/,https://www.coppsbuildall.com/img/products/5954-sm.jpg,
Plywood Sheet Goods,4814FG,"Plywood, Fir, Good One Side, 4 ft x 8 ft x 1/4"" (G1S, 6 mm)",Each,$44.95,https://www.coppsbuildall.com/shop/4814FG/plywood-fir-good-one-side-4-ft-x-8-ft-x-1-4-g1s-6-mm/,https://www.coppsbuildall.com/img/products/5904-sm.jpg,
Plywood Sheet Goods,4838FG,"Plywood, Fir, Good One Side, 4 ft x 8 ft x 3/8"" (G1S, 8 mm)",Each,$48.95,https://www.coppsbuildall.com/shop/4838FG/plywood-fir-good-one-side-4-ft-x-8-ft-x-3-8-g1s-8-mm/,https://www.coppsbuildall.com/img/products/5971-sm.jpg,
