sku,name,unit,price,product_link,image
2416,"Spruce, Dry, 2"" x 4"" x 16 ft",Each,$9.92,https://www.coppsbuildall.com/shop/2416/spruce-dry-2-x-4-x-16-ft/,https://www.coppsbuildall.com/img/products/3180-sm.jpg
24925,"Spruce, Precut, 2"" x 4"" x 92-5/8""",Each,$3.93,https://www.coppsbuildall.com/shop/24925/spruce-precut-2-x-4-x-92-5-8/,https://www.coppsbuildall.com/img/products/3325-sm.jpg
24104.5,"Spruce, Precut, 2"" x 4"" x 104-5/8""",Each,$4.76,https://www.coppsbuildall.com/shop/24104.5/spruce-precut-2-x-4-x-104-5-8/,https://www.coppsbuildall.com/img/products/3167-sm.jpg
24116.5,"Spruce, Precut, 2"" x 4"" x 116-5/8""",Each,$5.95,https://www.coppsbuildall.com/shop/24116.5/spruce-precut-2-x-4-x-116-5-8/,https://www.coppsbuildall.com/img/products/3171-sm.jpg
2618,"Spruce, Dry, 2"" x 6"" x 18 ft",Each,$23.49,https://www.coppsbuildall.com/shop/2618/spruce-dry-2-x-6-x-18-ft/,https://www.coppsbuildall.com/img/products/3611-sm.jpg
268,"Spruce, Dry, 2"" x 6"" x 8 ft",Each,$6.48,https://www.coppsbuildall.com/shop/268/spruce-dry-2-x-6-x-8-ft/,https://www.coppsbuildall.com/img/products/3629-sm.jpg
2610,"Spruce, Dry, 2"" x 6"" x 10 ft",Each,$10.98,https://www.coppsbuildall.com/shop/2610/spruce-dry-2-x-6-x-10-ft/,https://www.coppsbuildall.com/img/products/3591-sm.jpg
2612,"Spruce, Dry, 2"" x 6"" x 12 ft",Each,$13.28,https://www.coppsbuildall.com/shop/2612/spruce-dry-2-x-6-x-12-ft/,https://www.coppsbuildall.com/img/products/3597-sm.jpg
2614,"Spruce, Dry, 2"" x 6"" x 14 ft",Each,$16.25,https://www.coppsbuildall.com/shop/2614/spruce-dry-2-x-6-x-14-ft/,https://www.coppsbuildall.com/img/products/3601-sm.jpg
2616,"Spruce, Dry, 2"" x 6"" x 16 ft",Each,$17.67,https://www.coppsbuildall.com/shop/2616/spruce-dry-2-x-6-x-16-ft/,https://www.coppsbuildall.com/img/products/3605-sm.jpg
2620,"Spruce, Dry, 2"" x 6"" x 20 ft",Each,$25.95,https://www.coppsbuildall.com/shop/2620/spruce-dry-2-x-6-x-20-ft/,https://www.coppsbuildall.com/img/products/3615-sm.jpg
2622,"Spruce, Dry, 2"" x 6"" x 22 ft",Each,$46.95,https://www.coppsbuildall.com/shop/2622/spruce-dry-2-x-6-x-22-ft/,https://www.coppsbuildall.com/img/products/3617-sm.jpg
2624,"Spruce, Dry, 2"" x 6"" x 24 ft",Each,$54.95,https://www.coppsbuildall.com/shop/2624/spruce-dry-2-x-6-x-24-ft/,https://www.coppsbuildall.com/img/products/3618-sm.jpg
26925,"Spruce, Precut, 2"" x 6"" x 92-5/8""",Each,$6.43,https://www.coppsbuildall.com/shop/26925/spruce-precut-2-x-6-x-92-5-8/,https://www.coppsbuildall.com/img/products/3644-sm.jpg
26104.5,"Spruce, Precut, 2"" x 6"" x 104-5/8""",Each,$8.48,https://www.coppsbuildall.com/shop/26104.5/spruce-precut-2-x-6-x-104-5-8/,https://www.coppsbuildall.com/img/products/3592-sm.jpg
26116.5,"Spruce, Precut, 2"" x 6"" x 116-5/8""",Each,$9.49,https://www.coppsbuildall.com/shop/26116.5/spruce-precut-2-x-6-x-116-5-8/,https://www.coppsbuildall.com/img/products/3596-sm.jpg
2818,"Spruce, Dry, 2"" x 8"" x 18 ft",Each,$31.95,https://www.coppsbuildall.com/shop/2818/spruce-dry-2-x-8-x-18-ft/,https://www.coppsbuildall.com/img/products/3830-sm.jpg
288,"Spruce, Dry, 2"" x 8"" x 8 ft",Each,$15.11,https://www.coppsbuildall.com/shop/288/spruce-dry-2-x-8-x-8-ft/,https://www.coppsbuildall.com/img/products/3886-sm.jpg
2810,"Spruce, Dry, 2"" x 8"" x 10 ft",Each,$18.94,https://www.coppsbuildall.com/shop/2810/spruce-dry-2-x-8-x-10-ft/,https://www.coppsbuildall.com/img/products/3800-sm.jpg
2812,"Spruce, Dry, 2"" x 8"" x 12 ft",Each,$22.73,https://www.coppsbuildall.com/shop/2812/spruce-dry-2-x-8-x-12-ft/,https://www.coppsbuildall.com/img/products/3812-sm.jpg
2814,"Spruce, Dry, 2"" x 8"" x 14 ft",Each,$25.74,https://www.coppsbuildall.com/shop/2814/spruce-dry-2-x-8-x-14-ft/,https://www.coppsbuildall.com/img/products/3818-sm.jpg
2816,"Spruce, Dry, 2"" x 8"" x 16 ft",Each,$30.31,https://www.coppsbuildall.com/shop/2816/spruce-dry-2-x-8-x-16-ft/,https://www.coppsbuildall.com/img/products/3824-sm.jpg
2820,"Spruce, Dry, 2"" x 8"" x 20 ft",Each,$34.95,https://www.coppsbuildall.com/shop/2820/spruce-dry-2-x-8-x-20-ft/,https://www.coppsbuildall.com/img/products/3837-sm.jpg
2822,"Spruce, Dry, 2"" x 8"" x 22 ft",Each,$58.30,https://www.coppsbuildall.com/shop/2822/spruce-dry-2-x-8-x-22-ft/,https://www.coppsbuildall.com/img/products/3840-sm.jpg
2824,"Spruce, Dry, 2"" x 8"" x 24 ft",Each,$63.60,https://www.coppsbuildall.com/shop/2824/spruce-dry-2-x-8-x-24-ft/,https://www.coppsbuildall.com/img/products/3841-sm.jpg
2108,"Spruce, KD, 2"" x 10"" x 8 ft",Each,$18.64,https://www.coppsbuildall.com/shop/2108/spruce-kd-2-x-10-x-8-ft/,https://www.coppsbuildall.com/img/products/2723-sm.jpg
21010,"Spruce, KD, 2"" x 10"" x 10 ft",Each,$24.21,https://www.coppsbuildall.com/shop/21010/spruce-kd-2-x-10-x-10-ft/,https://www.coppsbuildall.com/img/products/2698-sm.jpg
21012,"Spruce, KD, 2"" x 10"" x 12 ft",Each,$27.96,https://www.coppsbuildall.com/shop/21012/spruce-kd-2-x-10-x-12-ft/,https://www.coppsbuildall.com/img/products/2702-sm.jpg
21014,"Spruce, KD, 2"" x 10"" x 14 ft",Each,$32.66,https://www.coppsbuildall.com/shop/21014/spruce-kd-2-x-10-x-14-ft/,https://www.coppsbuildall.com/img/products/2706-sm.jpg
21016,"Spruce, KD, 2"" x 10"" x 16 ft",Each,$37.34,https://www.coppsbuildall.com/shop/21016/spruce-kd-2-x-10-x-16-ft/,https://www.coppsbuildall.com/img/products/2710-sm.jpg
21018,"Spruce, KD, 2"" x 10"" x 18 ft",Each,$36.95,https://www.coppsbuildall.com/shop/21018/spruce-kd-2-x-10-x-18-ft/,https://www.coppsbuildall.com/img/products/2715-sm.jpg
21020,"Spruce, KD, 2"" x 10"" x 20 ft",Each,$41.95,https://www.coppsbuildall.com/shop/21020/spruce-kd-2-x-10-x-20-ft/,https://www.coppsbuildall.com/img/products/2717-sm.jpg
21022,"Spruce, KD, 2"" x 10"" x 22 ft",Each,$67.95,https://www.coppsbuildall.com/shop/21022/spruce-kd-2-x-10-x-22-ft/,https://www.coppsbuildall.com/img/products/2718-sm.jpg
21024,"Spruce, KD, 2"" x 10"" x 24 ft",Each,$74.95,https://www.coppsbuildall.com/shop/21024/spruce-kd-2-x-10-x-24-ft/,https://www.coppsbuildall.com/img/products/2719-sm.jpg
21218,"Spruce, KD, 2"" x 12"" x 18 ft",Each,$74.95,https://www.coppsbuildall.com/shop/21218/spruce-kd-2-x-12-x-18-ft/,https://www.coppsbuildall.com/img/products/2771-sm.jpg
2128,"Spruce, KD, 2"" x 12"" x 8 ft",Each,$31.20,https://www.coppsbuildall.com/shop/2128/spruce-kd-2-x-12-x-8-ft/,https://www.coppsbuildall.com/img/products/2778-sm.jpg
21210,"Spruce, KD, 2"" x 12"" x 10 ft",Each,$39.00,https://www.coppsbuildall.com/shop/21210/spruce-kd-2-x-12-x-10-ft/,https://www.coppsbuildall.com/img/products/2749-sm.jpg
21212,"Spruce, KD, 2"" x 12"" x 12 ft",Each,$46.84,https://www.coppsbuildall.com/shop/21212/spruce-kd-2-x-12-x-12-ft/,https://www.coppsbuildall.com/img/products/2757-sm.jpg
21214,"Spruce, KD, 2"" x 12"" x 14 ft",Each,$54.60,https://www.coppsbuildall.com/shop/21214/spruce-kd-2-x-12-x-14-ft/,https://www.coppsbuildall.com/img/products/2762-sm.jpg
21216,"Spruce, KD, 2"" x 12"" x 16 ft",Each,$65.46,https://www.coppsbuildall.com/shop/21216/spruce-kd-2-x-12-x-16-ft/,https://www.coppsbuildall.com/img/products/2766-sm.jpg
21220,"Spruce, KD, 2"" x 12"" x 20 ft",Each,$82.95,https://www.coppsbuildall.com/shop/21220/spruce-kd-2-x-12-x-20-ft/,https://www.coppsbuildall.com/img/products/2772-sm.jpg
21224,"Spruce, KD, 2"" x 12"" x 24 ft",Each,$122.95,https://www.coppsbuildall.com/shop/21224/spruce-kd-2-x-12-x-24-ft/,https://www.coppsbuildall.com/img/products/2773-sm.jpg
