category,name,sku,price,unit,url,image,scraped_time
Lumber,"1x8x1"" PT Privacy Diagonal Lattice - Custom Order",PL181PP,58,/each,https://shop.newcanadianslumber.com/p/1x8x1-pt-privacy-diagonal-lattice-custom-order/PL181PP,https://ik.imagekit.io/toolbx/ecommerce/NCL/PL281PP.jpg,
Lumber,1x6x10' PT,PT1610,9.49,/each,https://shop.newcanadianslumber.com/p/1x6x10-pt/PT1610,https://ik.imagekit.io/toolbx/p_1606681023860_038dd132-7402-41c8-af15-349336b5c644.jpg,
Lumber,"1x8x3/4"" PT Square Privacy Lattice - Custom Order",PL1834SQ,51,/each,https://shop.newcanadianslumber.com/p/1x8x34-pt-square-privacy-lattice-custom-order/PL1834SQ,https://ik.imagekit.io/toolbx/ecommerce/NCL/PL1834SQ.jpg,
Lumber,Roseburg Floor Joist 40S 11-7/8x16',FJ40S117816,61.95,/each,https://shop.newcanadianslumber.com/p/roseburg-floor-joist-40s-11-78x16/FJ40S117816,https://ik.imagekit.io/toolbx/i_joist.jpg,
Lumber,"2x6x116-5/8"" Premium SPF",S2611658,14.99,/each,https://shop.newcanadianslumber.com/p/2x6x116-58-premium-spf/S2611658,https://ik.imagekit.io/toolbx/p_1606680310872_885c45c4-8feb-4317-949b-36c501e07cc1.jpg,
Lumber,1x6x10' Clear Pine,CP1610,28.9,/each,https://shop.newcanadianslumber.com/p/1x6x10-clear-pine/CP1610,https://ik.imagekit.io/toolbx/p_1606680355151_e3fdd0db-d3ae-455a-b3fe-b63e4b34cdeb.jpg,
Lumber,Pine 3/4 Cove Moulding,COV-003,1.25,/each,https://shop.newcanadianslumber.com/p/pine-34-cove-moulding/COV-003,https://ik.imagekit.io/toolbx/1749671512680,
Lumber,"1x8x3/4"" PT Square Lattice - Custom Order",PL1834S,45,/each,https://shop.newcanadianslumber.com/p/1x8x34-pt-square-lattice-custom-order/PL1834S,https://ik.imagekit.io/toolbx/ecommerce/NCL/PL1834S.jpg,
Lumber,2-Step Sienna PT Stair Stringer,PT2,19.99,/each,https://shop.newcanadianslumber.com/p/2-step-sienna-pt-stair-stringer/PT2,https://ik.imagekit.io/toolbx/1747765619178,
Lumber,"6x6"" Cedar Post Caps",C66CAP,5.99,/each,https://shop.newcanadianslumber.com/p/6x6-cedar-post-caps/C66CAP,https://ik.imagekit.io/toolbx/ecommerce/NCL/C66CAP.jpg,
Lumber,2x4x10' PT,PT2410,10.59,/each,https://shop.newcanadianslumber.com/p/2x4x10-pt/PT2410,https://ik.imagekit.io/toolbx/src-img/183591665951,
Lumber,2x6x10' Construction Cedar,C2610,42.99,/each,https://shop.newcanadianslumber.com/p/2x6x10-construction-cedar/C2610,https://ik.imagekit.io/toolbx/1742386673499,
Lumber,1x6x16' Pine #1,P1616,31.96,/each,https://shop.newcanadianslumber.com/p/1x6x16-pine-1/P1616,https://ik.imagekit.io/toolbx/p_1606680385915_2b3210bd-6c83-4b0d-9388-90f19ae02f69.jpg,
Lumber,1x6x8' Kiln Dried SPF Strapping,S168,6.15,/each,https://shop.newcanadianslumber.com/p/1x6x8-kiln-dried-spf-strapping/S168,https://ik.imagekit.io/toolbx/p_1606679950415_1ca37fd3-c45a-4593-9416-5b703d11666f.jpg,
Lumber,"8' x 3/4"" Pressure Treated Diagonal Lattice - Custom Order",PL1834D,45,/each,https://shop.newcanadianslumber.com/p/8-x-34-pressure-treated-diagonal-lattice-custom-order/PL1834D,https://ik.imagekit.io/toolbx/p_1666902651894_3d872f9b-8a6a-4453-965d-935460edff6d_PL1834D.jpg,
Lumber,"2x8x3/4"" PT Privacy Diagonal Lattice - Custom Order",PL2834PP,77,/each,https://shop.newcanadianslumber.com/p/2x8x34-pt-privacy-diagonal-lattice-custom-order/PL2834PP,https://ik.imagekit.io/toolbx/ecommerce/NCL/PL2834PP.jpg,
Lumber,Rimboard 1-1/8x9-1/2x12',TS912,34.95,/each,https://shop.newcanadianslumber.com/p/rimboard-1-18x9-12x12/TS912,https://ik.imagekit.io/toolbx/p_1606681462485_1c1d5141-ac4e-43bc-95f1-829d6432fa95.jpg,
Lumber,2x4x12' PT,PT2412,11.99,/each,https://shop.newcanadianslumber.com/p/2x4x12-pt/PT2412,https://ik.imagekit.io/toolbx/src-img/183591665951,
Lumber,4x4x8' Premium Cedar Post,C448,53.95,/each,https://shop.newcanadianslumber.com/p/4x4x8-premium-cedar-post/C448,https://ik.imagekit.io/toolbx/ecommerce/NCL/4X4CEDAR.png,
Lumber,1x6x10' Premium Cedar,C1610,17.07,/each,https://shop.newcanadianslumber.com/p/1x6x10-premium-cedar/C1610,https://ik.imagekit.io/toolbx/p_1606679998349_cda51672-0b50-4359-94c7-3b1b679c8154.jpg,
Lumber,"1x4"" T&G Pine ""Flooring"" (price per Linear Foot)",P14TGF,0.99,/foot,https://shop.newcanadianslumber.com/p/1x4-tg-pine-flooring-price-per-linear-foot/P14TGF,https://ik.imagekit.io/toolbx/ecommerce/NCL/P14TGF.jpeg,
Lumber,1x4x8' Clear Pine,CP148,16.18,/each,https://shop.newcanadianslumber.com/p/1x4x8-clear-pine/CP148,https://ik.imagekit.io/toolbx/p_1606680317449_a87a5322-a171-4f63-bfc5-c356a22a38a2.jpg,
Lumber,Pine 2-1/2 Colonial Casing,CAS-206,3.32,/each,https://shop.newcanadianslumber.com/p/pine-2-12-colonial-casing/CAS-206,https://ik.imagekit.io/toolbx/1749667662938,
Lumber,1x2x10' SPF,S1210,2.59,/each,https://shop.newcanadianslumber.com/p/1x2x10-spf/S1210,https://ik.imagekit.io/toolbx/p_1748048468279_104fd222-6e09-435e-86a7-36b6b9d41e97.jpg,
Lumber,1x10x12' Pine#1,P11012,35.7,/each,https://shop.newcanadianslumber.com/p/1x10x12-pine1/P11012,https://ik.imagekit.io/toolbx/p_1657819523417_8d9cccae-fc44-401b-9fb6-d94503c6a73a.jpg,
Lumber,2x6x16' PT,PT2616,27.79,/each,https://shop.newcanadianslumber.com/p/2x6x16-pt/PT2616,https://ik.imagekit.io/toolbx/src-img/185514282908,
Lumber,2x10x24' Select Fir,S21024,99.89,/each,https://shop.newcanadianslumber.com/p/2x10x24-select-fir/S21024,https://ik.imagekit.io/toolbx/ecommerce/NCL/S21024.jpeg,
Lumber,"2x8x1"" PT Square Privacy Lattice - Custom Order",PL281SQ,77,/each,https://shop.newcanadianslumber.com/p/2x8x1-pt-square-privacy-lattice-custom-order/PL281SQ,https://ik.imagekit.io/toolbx/ecommerce/NCL/PL281SQ.jpg,
