complete,url,id,school,sector,type,state,students,year_range,location,website,profile_year,icsea_value,icsea_percentile,icsea_quartile_1,icsea_quartile_2,icsea_quartile_3,icsea_quartile_4,results_year,year_3_reading,year_3_reading_color,year_3_writing,year_3_writing_color,year_3_spelling,year_3_spelling_color,year_3_grammar,year_3_grammar_color,year_3_numeracy,year_3_numeracy_color,year_5_reading,year_5_reading_color,year_5_writing,year_5_writing_color,year_5_spelling,year_5_spelling_color,year_5_grammar,year_5_grammar_color,year_5_numeracy,year_5_numeracy_color,year_7_reading,year_7_reading_color,year_7_writing,year_7_writing_color,year_7_spelling,year_7_spelling_color,year_7_grammar,year_7_grammar_color,year_7_numeracy,year_7_numeracy_color,year_9_reading,year_9_reading_color,year_9_writing,year_9_writing_color,year_9_spelling,year_9_spelling_color,year_9_grammar,year_9_grammar_color,year_9_numeracy,year_9_numeracy_color,naplan_participation,attendance_year,attendance_rate,high_attendance_rate
,https://www.myschool.edu.au/school/41030,41030,Kogarah Public School,Government,Primary,"Kogarah, NSW",466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/43714,43714,Koinonia Christian Academy,Non-government,Combined,"Bourke, NSW",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/48181,48181,Kojonup District High School,Government,Combined,"Kojonup, WA",222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/46603,46603,Kolan South State School,Government,Primary,"South Kolan, QLD",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/46123,46123,Kolbe Catholic College,Non-government,Secondary,"Greenvale, VIC",1259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/48991,48991,Kolbe Catholic College,Non-government,Secondary,"Rockingham, WA",1254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/48418,48418,Kondinin Primary School,Government,Primary,"Kondinin, WA",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/49205,49205,Kongorong Primary School,Government,Primary,"Kongorong, SA",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/44588,44588,Kongwak Primary School,Government,Primary,"Kongwak, VIC",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/44489,44489,Koo Wee Rup Primary School,Government,Primary,"Koo Wee Rup, VIC",319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/45407,45407,Koo Wee Rup Secondary College,Government,Secondary,"Koo Wee Rup, VIC",950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/49206,49206,Koolunga Primary School,Government,Primary,"Koolunga, SA",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/42877,42877,Koonawarra Public School,Government,Primary,"Dapto, NSW",194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/48609,48609,Koondoola Primary School,Government,Primary,"Koondoola, WA",263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/44448,44448,Koondrook Primary School,Government,Primary,"Koondrook, VIC",102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/49562,49562,Koonibba Aboriginal School,Government,Primary,"Koonibba, SA",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/45406,45406,Koonung Secondary College,Government,Secondary,"Mont Albert North, VIC",1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
