url,id,school,sector,type,state,students,year_range,location,website,profile_year,icsea_value,icsea_percentile,icsea_quartile_1,icsea_quartile_2,icsea_quartile_3,icsea_quartile_4,results_year,year_3_reading,year_3_reading_color,year_3_writing,year_3_writing_color,year_3_spelling,year_3_spelling_color,year_3_grammar,year_3_grammar_color,year_3_numeracy,year_3_numeracy_color,year_5_reading,year_5_reading_color,year_5_writing,year_5_writing_color,year_5_spelling,year_5_spelling_color,year_5_grammar,year_5_grammar_color,year_5_numeracy,year_5_numeracy_color,year_7_reading,year_7_reading_color,year_7_writing,year_7_writing_color,year_7_spelling,year_7_spelling_color,year_7_grammar,year_7_grammar_color,year_7_numeracy,year_7_numeracy_color,year_9_reading,year_9_reading_color,year_9_writing,year_9_writing_color,year_9_spelling,year_9_spelling_color,year_9_grammar,year_9_grammar_color,year_9_numeracy,year_9_numeracy_color,naplan_participation,attendance_year,attendance_rate,high_attendance_rate,attendance_status,status,scrape_time,Column1,_1,_2,_3,_4,_5
https://www.myschool.edu.au/school/41922,41922,Largs Public School,Government,Primary,"Largs, NSW",160,K-6,Major Cities,https://largs-p.schools.nsw.gov.au,2024,1009,51,25,34,29,11,2024,394,#ffffff,402,#fccccc,375,#fccccc,405,#ffffff,389,#fccccc,446,#f26469,461,#fccccc,462,#fccccc,466,#fccccc,460,#fccccc,,,,,,,,,,,,,,,,,,,,,100,2024,89,54,,OK,17.4,,,,,,
https://www.myschool.edu.au/school/40006,40006,Larmenier Catholic School,Non-government,Primary,"St Leonards, TAS",193,Prep-6,Inner Regional,https://www.larmenier.tas.edu.au/,2024,1009,51,26,37,24,13,2024,402,#ffffff,412,#ffffff,397,#ffffff,394,#ffffff,385,#fccccc,477,#ffffff,491,#ffffff,502,#ffffff,508,#ffffff,484,#ffffff,,,,,,,,,,,,,,,,,,,,,98,2024,89,65,,OK,18.23,,,,,,
https://www.myschool.edu.au/school/42247,42247,Larnook Public School,Government,Primary,"Larnook, NSW",16,K-6,Inner Regional,https://larnook-p.schools.nsw.gov.au,2024,911,13,49,33,15,3,2023,N/A,#ededed,N/A,#ededed,N/A,#ededed,N/A,#ededed,N/A,#ededed,474,#ededed,430,#ededed,399,#ededed,406,#ededed,434,#ededed,,,,,,,,,,,,,,,,,,,,,90,2024,85,40,,OK,17.62,,,,,,
https://www.myschool.edu.au/school/50030,50030,Larrakeyah Primary School,Government,Primary,"Larrakeyah, NT",465,T-6,Outer Regional,http://www.larrakeyahprimary.nt.edu.au,2024,1083,80,7,21,36,36,2024,430,#b6f9cc,428,#ffffff,425,#b6f9cc,450,#b6f9cc,427,#b6f9cc,514,#b6f9cc,504,#b6f9cc,512,#b6f9cc,513,#ffffff,501,#ffffff,,,,,,,,,,,,,,,,,,,,,97,2024,92,74,,OK,18.5,,,,,,
https://www.myschool.edu.au/school/49898,49898,Latham Primary School,Government,Primary,"Latham, ACT",339,K-6,Major Cities,http://www.lathamps.act.edu.au/,2024,1028,59,24,27,30,19,2024,398,#ffffff,387,#fccccc,377,#fccccc,378,#fccccc,384,#fccccc,474,#fccccc,436,#f26469,447,#fccccc,458,#fccccc,456,#fccccc,,,,,,,,,,,,,,,,,,,,,97,2024,86,50,,OK,18.26,,,,,,
https://www.myschool.edu.au/school/48428,48428,Lathlain Primary School,Government,Primary,"Lathlain, WA",636,K-6,Major Cities,http://www.lathlainps.wa.edu.au,2024,1084,80,10,21,34,35,2024,413,#ffffff,418,#ffffff,409,#ffffff,421,#ffffff,413,#ffffff,514,#b6f9cc,501,#b6f9cc,512,#b6f9cc,505,#ffffff,502,#ffffff,,,,,,,,,,,,,,,,,,,,,97,2024,91,74,,OK,17.86,,,,,,
https://www.myschool.edu.au/school/40183,40183,Latrobe High School,Government,Secondary,"Latrobe, TAS",571,7-12,Outer Regional,https://latrobehigh.education.tas.edu.au/,2024,948,24,49,32,12,7,2024,,,,,,,,,,,,,,,,,,,,,521,#ffffff,521,#fccccc,530,#ffffff,515,#fccccc,515,#fccccc,558,#ffffff,556,#ffffff,565,#ffffff,559,#ffffff,555,#ffffff,98,2024,83,46,,OK,15.93,,,,,,
https://www.myschool.edu.au/school/40180,40180,Latrobe Primary School,Government,Primary,"Latrobe, TAS",304,K-6,Outer Regional,https://latrobeprimary.education.tas.edu.au,2024,933,19,54,30,10,5,2024,392,#ffffff,405,#ffffff,383,#fccccc,387,#fccccc,416,#ffffff,481,#ffffff,468,#fccccc,464,#fccccc,460,#fccccc,462,#fccccc,,,,,,,,,,,,,,,,,,,,,100,2024,92,72,,OK,20.09,,,,,,
https://www.myschool.edu.au/school/45092,45092,Latrobe Special Developmental School,Government,Special,"Traralgon, VIC",86,U,Inner Regional,http://www.latrobesds.vic.edu.au/,2024,928,17,60,26,8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,2024,83,52,,NAPLAN Data not found,26.6,,,,,,
https://www.myschool.edu.au/school/40135,40135,Lauderdale Primary School,Government,Primary,"Lauderdale, TAS",687,K-6,Inner Regional,https://lauderdaleprimary.education.tas.edu.au/,2024,1037,63,18,31,29,22,2024,403,#ffffff,407,#ffffff,382,#fccccc,388,#fccccc,398,#ffffff,502,#ffffff,476,#ffffff,468,#fccccc,497,#ffffff,488,#ffffff,,,,,,,,,,,,,,,,,,,,,99,2024,91,65,,OK,19.38,,,,,,
