vendor,category,name,sku,flag,price,unit,url,image,brand,scraped_time,price_2026_01_06,unit_2026_01_06,status_2026_01_06,price_2026_01_08,unit_2026_01_08,status_2026_01_08,price_2026_01_07,unit_2026_01_07,status_2026_01_07,flagged_time,price_2026_01_10,unit_2026_01_10,status_2026_01_10
New Canadians Lumber,Lumber,2x12x8' Pine #1,P2128,False,$67.47,/each,https://shop.newcanadianslumber.com/p/2x12x8-pine-1/P2128,https://ik.imagekit.io/toolbx/p_1657814311032_233a0895-f11d-4ffc-9710-29f3d7b38738.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,Roseburg Floor Joist 40S 9-1/2x16',FJ40S91216,False,$56.95,/each,https://shop.newcanadianslumber.com/p/roseburg-floor-joist-40s-9-12x16/FJ40S91216,https://ik.imagekit.io/toolbx/i_joist.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,"2x6x104-5/8"" Premium SPF",S2610458,False,$8.99,/each,https://shop.newcanadianslumber.com/p/2x6x104-58-premium-spf/S2610458,https://ik.imagekit.io/toolbx/src-img/131382506884,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,2x8x10' PT,PT2810,False,$23.59,/each,https://shop.newcanadianslumber.com/p/2x8x10-pt/PT2810,https://toolbx-product-catalog.s3.us-east-1.amazonaws.com/ecommerce/CatalogOPSProject/TLBX/TLBX-01-104-0208.png,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,1x8x12' Clear Pine,CP1812,False,$40.80,/each,https://shop.newcanadianslumber.com/p/1x8x12-clear-pine/CP1812,https://ik.imagekit.io/toolbx/ecommerce/NCL/CP1812.png,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,5/4x6x12' PT,PT1612DB,False,$14.39,/each,https://shop.newcanadianslumber.com/p/54x6x12-pt/PT1612DB,https://ik.imagekit.io/toolbx/p_1679631404840_78b2c41c-8d6e-4a9f-9ca0-256210c3b6c6_PT1612DB.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,4x4x5' Special P.T.L Post,PT445,False,$11.50,/each,https://shop.newcanadianslumber.com/p/4x4x5-special-ptl-post/PT445,https://ik.imagekit.io/toolbx/p_1606681187710_021e45db-7584-4d8d-bf83-6ed2dee9cf17.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,1x5x7' Finger Jointed Pine,FJ157,False,$10.99,/each,https://shop.newcanadianslumber.com/p/1x5x7-finger-jointed-pine/FJ157,https://ik.imagekit.io/toolbx/ecommerce/NCL/FJ157.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,2x8x16' Pine #1,P2816,False,$73.21,/each,https://shop.newcanadianslumber.com/p/2x8x16-pine-1/P2816,https://ik.imagekit.io/toolbx/p_1657819543390_0fe9be6c-e68c-4c8e-bf9f-162dd64a7ac8.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,"2x2x42"" PT",PT42,False,$3.59,/each,https://shop.newcanadianslumber.com/p/2x2x42-pt/PT42,https://ik.imagekit.io/toolbx/ecommerce/NCL/PT42.jpeg,,,,,,,,,,,,,,,
